scene_name,config_path,variant_name,seed,completion_rate,total_energy,avg_delivery_time,avg_wait_time_at_relay,relay_count,direct_count,fallback_count,charging_count,failed_tasks,total_distance,total_distance_uav,total_distance_agv,run_dir
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,greedy_pool,1024,0.8,155.9397723966835,0.5,9.0,2,2,0,0,1,1916.2882900973505,1597.8772648518416,318.41102524550877,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\greedy_pool_seed_1024
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,random_pool,42,0.8,141.9776748453105,1.0,,0,4,0,0,1,1923.2018015465928,1923.2018015465928,0.0,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\random_pool_seed_42
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,random_pool,123,0.8,155.94163761951182,0.5,9.0,2,2,0,0,1,1916.3255945539163,1597.8772648518416,318.4483297020747,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\random_pool_seed_123
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,random_pool,456,0.8,155.4443699266353,0.5,9.0,2,2,0,0,1,2192.535703173088,1923.2018015465928,269.3339016264955,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\random_pool_seed_456
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,random_pool,789,0.8,141.9776748453105,1.0,,0,4,0,0,1,1923.2018015465928,1923.2018015465928,0.0,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\random_pool_seed_789
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,random_pool,1024,0.8,155.9397723966835,0.5,9.0,2,2,0,0,1,1916.2882900973505,1597.8772648518416,318.41102524550877,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\random_pool_seed_1024
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,fixed_weights,42,0.6,120.56799710798343,0.6666666666666666,9.0,1,2,0,0,2,2071.3056172296588,1837.1369657457822,234.1686514838764,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\fixed_weights_seed_42
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,fixed_weights,123,0.6,120.56799710798343,0.6666666666666666,9.0,1,2,0,0,2,2071.3056172296588,1837.1369657457822,234.1686514838764,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\fixed_weights_seed_123
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,fixed_weights,456,0.6,120.56799710798343,0.6666666666666666,9.0,1,2,0,0,2,2071.3056172296588,1837.1369657457822,234.1686514838764,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\fixed_weights_seed_456
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,fixed_weights,789,0.6,120.56799710798343,0.6666666666666666,9.0,1,2,0,0,2,2071.3056172296588,1837.1369657457822,234.1686514838764,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\fixed_weights_seed_789
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,fixed_weights,1024,0.6,120.56799710798343,0.6666666666666666,9.0,1,2,0,0,2,2071.3056172296588,1837.1369657457822,234.1686514838764,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\fixed_weights_seed_1024
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,simple_ops,42,0.6,120.56799710798343,0.6666666666666666,9.0,1,2,0,0,2,2071.3056172296588,1837.1369657457822,234.1686514838764,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\simple_ops_seed_42
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,simple_ops,123,0.6,120.56799710798343,0.6666666666666666,9.0,1,2,0,0,2,2071.3056172296588,1837.1369657457822,234.1686514838764,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\simple_ops_seed_123
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,simple_ops,456,0.8,141.9776748453105,1.0,,0,4,0,0,1,1923.2018015465928,1923.2018015465928,0.0,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\simple_ops_seed_456
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,simple_ops,789,0.6,120.56799710798343,0.6666666666666666,9.0,1,2,0,0,2,2071.3056172296588,1837.1369657457822,234.1686514838764,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\simple_ops_seed_789
pickup_delivery_generated,configs/generated/pickup_delivery_generated.yaml,simple_ops,1024,0.8,141.9776748453105,1.0,,0,4,0,0,1,1923.2018015465928,1923.2018015465928,0.0,results\ablation\alns_ablation_20260605_214726\runs\pickup_delivery_generated\simple_ops_seed_1024
scene_small,configs/generated/scene_small.yaml,unified_full,42,1.0,505.04890848985355,4.7,1.0,1,9,0,4,0,1766.2386324643928,1489.7300430860519,276.508589378341,results\ablation\alns_ablation_20260605_214726\runs\scene_small\unified_full_seed_42
scene_small,configs/generated/scene_small.yaml,unified_full,123,1.0,505.04890848985355,4.7,1.0,1,9,0,4,0,1766.2386324643928,1489.7300430860519,276.508589378341,results\ablation\alns_ablation_20260605_214726\runs\scene_small\unified_full_seed_123
scene_small,configs/generated/scene_small.yaml,unified_full,456,1.0,505.04890848985355,4.7,1.0,1,9,0,4,0,1766.2386324643928,1489.7300430860519,276.508589378341,results\ablation\alns_ablation_20260605_214726\runs\scene_small\unified_full_seed_456
scene_small,configs/generated/scene_small.yaml,unified_full,789,1.0,505.04890848985355,4.7,1.0,1,9,0,4,0,1766.2386324643928,1489.7300430860519,276.508589378341,results\ablation\alns_ablation_20260605_214726\runs\scene_small\unified_full_seed_789
scene_small,configs/generated/scene_small.yaml,unified_full,1024,1.0,514.1456667113105,3.7,1.0,1,9,0,4,0,1707.0473688952482,1430.5387795169072,276.508589378341,results\ablation\alns_ablation_20260605_214726\runs\scene_small\unified_full_seed_1024
scene_small,configs/generated/scene_small.yaml,direct_only,42,1.0,467.2492512041691,5.2,,0,10,0,3,0,1478.0815801554172,1478.0815801554172,0.0,results\ablation\alns_ablation_20260605_214726\runs\scene_small\direct_only_seed_42
scene_small,configs/generated/scene_small.yaml,direct_only,123,1.0,491.3205825455065,4.8,,0,10,0,4,0,1503.1773433070252,1503.1773433070252,0.0,results\ablation\alns_ablation_20260605_214726\runs\scene_small\direct_only_seed_123
scene_small,configs/generated/scene_small.yaml,direct_only,456,1.0,491.3205825455065,4.8,,0,10,0,4,0,1503.1773433070252,1503.1773433070252,0.0,results\ablation\alns_ablation_20260605_214726\runs\scene_small\direct_only_seed_456
scene_small,configs/generated/scene_small.yaml,direct_only,789,1.0,492.926158659113,5.2,,0,10,0,4,0,1453.499161818455,1453.499161818455,0.0,results\ablation\alns_ablation_20260605_214726\runs\scene_small\direct_only_seed_789
scene_small,configs/generated/scene_small.yaml,direct_only,1024,1.0,466.5376272851938,5.2,,0,10,0,3,0,1445.4324120368437,1445.4324120368437,0.0,results\ablation\alns_ablation_20260605_214726\runs\scene_small\direct_only_seed_1024
scene_small,configs/generated/scene_small.yaml,relay_only,42,1.0,579.2069417477205,2.8,2.1,11,0,0,4,0,1767.5674664536932,1010.5890154590495,756.9784509946438,results\ablation\alns_ablation_20260605_214726\runs\scene_small\relay_only_seed_42
scene_small,configs/generated/scene_small.yaml,relay_only,123,1.0,550.2650634464593,2.8,2.1,11,0,0,3,0,2199.678086820699,1442.699635826055,756.9784509946438,results\ablation\alns_ablation_20260605_214726\runs\scene_small\relay_only_seed_123
scene_small,configs/generated/scene_small.yaml,relay_only,456,1.0,550.2650634464593,2.8,2.1,11,0,0,3,0,2199.678086820699,1442.699635826055,756.9784509946438,results\ablation\alns_ablation_20260605_214726\runs\scene_small\relay_only_seed_456
scene_small,configs/generated/scene_small.yaml,relay_only,789,1.0,550.2650634464593,2.8,2.1,11,0,0,3,0,2199.678086820699,1442.699635826055,756.9784509946438,results\ablation\alns_ablation_20260605_214726\runs\scene_small\relay_only_seed_789
scene_small,configs/generated/scene_small.yaml,relay_only,1024,1.0,579.2069417477205,2.8,2.1,11,0,0,4,0,1767.5674664536932,1010.5890154590495,756.9784509946438,results\ablation\alns_ablation_20260605_214726\runs\scene_small\relay_only_seed_1024
scene_small,configs/generated/scene_small.yaml,greedy_pool,42,1.0,504.1866499491109,4.5,1.0,3,7,0,4,0,1516.0747555497296,1222.3714011613417,293.70335438838794,results\ablation\alns_ablation_20260605_214726\runs\scene_small\greedy_pool_seed_42
scene_small,configs/generated/scene_small.yaml,greedy_pool,123,1.0,505.04890848985355,4.7,1.0,1,9,0,4,0,1766.2386324643928,1489.7300430860519,276.508589378341,results\ablation\alns_ablation_20260605_214726\runs\scene_small\greedy_pool_seed_123
