scene_name,variant_name,baseline_variant,completion_rate_delta,completion_rate_relative_delta,total_energy_delta,total_energy_relative_delta,avg_delivery_time_delta,avg_delivery_time_relative_delta,fallback_count_delta,fallback_count_relative_delta,charging_count_delta,charging_count_relative_delta
pickup_delivery_generated,unified_full,unified_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
pickup_delivery_generated,direct_only,unified_full,0.040000000000000036,6.666666666666673,-6.59599420157403,-5.470767002678587,0.33333333333333337,50.000000000000014,0.0,,0.0,
pickup_delivery_generated,relay_only,unified_full,0.0,0.0,-2.288212102944968,-1.897860259630583,-0.6666666666666666,-100.0,0.0,,0.0,
pickup_delivery_generated,greedy_pool,unified_full,0.20000000000000007,33.33333333333335,35.37177528870008,29.33761540139073,-0.16666666666666663,-24.999999999999993,0.0,,0.0,
pickup_delivery_generated,random_pool,unified_full,0.20000000000000007,33.33333333333335,29.68822881870689,24.623639382611156,0.033333333333333326,4.999999999999999,0.0,,0.0,
pickup_delivery_generated,fixed_weights,unified_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
pickup_delivery_generated,simple_ops,unified_full,0.08000000000000007,13.333333333333346,8.563871094930832,7.10293883978253,0.1333333333333333,19.999999999999996,0.0,,0.0,
scene_small,unified_full,unified_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
scene_small,direct_only,unified_full,0.0,0.0,-24.9974196862471,-4.931739004456784,0.54,12.000000000000002,0.0,,-0.3999999999999999,-9.999999999999998
scene_small,relay_only,unified_full,0.0,0.0,54.97355463281889,10.845728359134165,-1.7000000000000002,-37.777777777777786,0.0,,-0.6000000000000001,-15.000000000000002
scene_small,greedy_pool,unified_full,0.0,0.0,-0.5173551244455439,-0.10206895265223818,-0.1200000000000001,-2.6666666666666687,0.0,,0.0,0.0
scene_small,random_pool,unified_full,0.0,0.0,-0.5173551244455439,-0.10206895265223818,-0.1200000000000001,-2.6666666666666687,0.0,,0.0,0.0
scene_small,fixed_weights,unified_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
scene_small,simple_ops,unified_full,0.0,0.0,3.6387032885827466,0.7178794915309449,-0.40000000000000036,-8.888888888888896,0.0,,0.0,0.0
scene_medium,unified_full,unified_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scene_medium,direct_only,unified_full,-0.2533333333333334,-27.142857142857153,-626.370613052805,-38.200211615204175,0.8443095238095228,29.194658499637715,-0.4,-100.0,-4.0,-36.36363636363637
scene_medium,relay_only,unified_full,0.00666666666666671,0.7142857142857189,245.53471167339035,14.9743263003479,-0.5796190476190479,-20.042152407297646,2.4,599.9999999999999,2.5999999999999996,23.636363636363633
scene_medium,greedy_pool,unified_full,-0.013333333333333197,-1.428571428571414,76.12707791431899,4.642731356442105,0.061855072463767424,2.1388337643073108,-0.4,-100.0,1.0,9.090909090909092
scene_medium,random_pool,unified_full,0.020000000000000018,2.1428571428571446,120.4307602615379,7.3446621394781735,1.0578550724637679,36.57866778920359,-0.4,-100.0,2.1999999999999993,19.999999999999993
scene_medium,fixed_weights,unified_full,0.06666666666666665,7.1428571428571415,281.5325487903067,17.169711854682532,0.2413333333333325,8.344859382203751,-0.2,-50.0,2.5999999999999996,23.636363636363633
scene_medium,simple_ops,unified_full,-0.046666666666666634,-4.9999999999999964,-73.19188540818504,-4.463723956463355,0.08399999999999963,2.904564315352684,-0.4,-100.0,-0.1999999999999993,-1.818181818181812
scene_large,unified_full,unified_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scene_large,direct_only,unified_full,-0.492,-49.2,-1947.2022799247716,-63.58672758362135,-0.4661635079895954,-18.98059885951121,-1.2,-100.0,-16.6,-79.04761904761905
scene_large,relay_only,unified_full,0.0,0.0,455.8031371620973,14.88444740091718,-1.2200000000000004,-49.67426710097721,1.8,150.0,4.600000000000001,21.90476190476191
scene_large,greedy_pool,unified_full,0.0,0.0,-22.625866758560278,-0.7388574062143504,0.8759999999999994,35.667752442996715,-0.3999999999999999,-33.33333333333333,0.6000000000000014,2.857142857142864
scene_large,random_pool,unified_full,0.0,0.0,71.69747569945957,2.341311892830662,1.1079999999999997,45.11400651465796,0.0,0.0,2.0,9.523809523809524
scene_large,fixed_weights,unified_full,0.0,0.0,11.480596078791223,0.37490380064052325,0.21999999999999975,8.957654723127025,-1.0,-83.33333333333334,0.3999999999999986,1.904761904761898
scene_large,simple_ops,unified_full,0.0,0.0,46.280137265604935,1.5112977789622946,0.5519999999999996,22.47557003257327,-1.2,-100.0,1.1999999999999993,5.714285714285711
