scene_name,variant_name,baseline_variant,completion_rate_delta,completion_rate_relative_delta,total_energy_delta,total_energy_relative_delta,avg_delivery_time_delta,avg_delivery_time_relative_delta,fallback_count_delta,fallback_count_relative_delta,charging_count_delta,charging_count_relative_delta
pickup_delivery_generated,unified_full,unified_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
pickup_delivery_generated,direct_only,unified_full,0.040000000000000036,6.666666666666673,-6.59599420157403,-5.470767002678587,0.33333333333333337,50.000000000000014,0.0,,0.0,
pickup_delivery_generated,relay_only,unified_full,0.0,0.0,-2.288212102944968,-1.897860259630583,-0.6666666666666666,-100.0,0.0,,0.0,
pickup_delivery_generated,greedy_pool,unified_full,0.20000000000000007,33.33333333333335,35.37177528870008,29.33761540139073,-0.16666666666666663,-24.999999999999993,0.0,,0.0,
pickup_delivery_generated,random_pool,unified_full,0.20000000000000007,33.33333333333335,29.68822881870689,24.623639382611156,0.033333333333333326,4.999999999999999,0.0,,0.0,
pickup_delivery_generated,fixed_weights,unified_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
pickup_delivery_generated,simple_ops,unified_full,0.08000000000000007,13.333333333333346,8.563871094930832,7.10293883978253,0.1333333333333333,19.999999999999996,0.0,,0.0,
scene_small,unified_full,unified_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
scene_small,direct_only,unified_full,0.0,0.0,-24.9974196862471,-4.931739004456784,0.54,12.000000000000002,0.0,,-0.3999999999999999,-9.999999999999998
scene_small,relay_only,unified_full,0.10000000000000009,10.000000000000009,74.17355463281893,14.633694880241382,-1.7000000000000002,-37.777777777777786,0.0,,0.0,0.0
scene_small,greedy_pool,unified_full,0.0,0.0,-0.5173551244455439,-0.10206895265223818,-0.1200000000000001,-2.6666666666666687,0.0,,0.0,0.0
scene_small,random_pool,unified_full,0.0,0.0,-0.5173551244455439,-0.10206895265223818,-0.1200000000000001,-2.6666666666666687,0.0,,0.0,0.0
scene_small,fixed_weights,unified_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
scene_small,simple_ops,unified_full,0.0,0.0,3.6387032885827466,0.7178794915309449,-0.40000000000000036,-8.888888888888896,0.0,,0.0,0.0
scene_medium,unified_full,unified_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scene_medium,direct_only,unified_full,-0.2666666666666667,-28.169014084507047,-626.370613052805,-38.200211615204175,0.8443095238095228,29.194658499637715,-0.4,-100.0,-4.0,-36.36363636363637
scene_medium,relay_only,unified_full,0.08000000000000018,8.450704225352132,254.69788149823216,15.533156837861481,-0.5062857142857147,-17.506421655799258,2.4,599.9999999999999,2.5999999999999996,23.636363636363633
scene_medium,greedy_pool,unified_full,0.026666666666666616,2.816901408450699,76.12707791431899,4.642731356442105,0.061855072463767424,2.1388337643073108,-0.4,-100.0,1.0,9.090909090909092
scene_medium,random_pool,unified_full,0.046666666666666745,4.92957746478874,120.4307602615379,7.3446621394781735,1.0578550724637679,36.57866778920359,-0.4,-100.0,2.1999999999999993,19.999999999999993
scene_medium,fixed_weights,unified_full,0.1466666666666666,15.492957746478867,281.5325487903067,17.169711854682532,0.5013333333333327,17.335177501152582,-0.2,-50.0,2.5999999999999996,23.636363636363633
scene_medium,simple_ops,unified_full,-0.053333333333333344,-5.633802816901409,-73.19188540818504,-4.463723956463355,0.08399999999999963,2.904564315352684,-0.4,-100.0,-0.1999999999999993,-1.818181818181812
scene_large,unified_full,unified_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scene_large,direct_only,unified_full,-0.508,-50.0,-1947.2022799247716,-63.58672758362135,-0.47016350798959494,-19.112337723154265,-1.2,-100.0,-16.6,-79.04761904761905
scene_large,relay_only,unified_full,0.1120000000000001,11.023622047244103,455.8031371620973,14.88444740091718,-1.1640000000000001,-47.31707317073172,1.8,150.0,4.600000000000001,21.90476190476191
scene_large,greedy_pool,unified_full,0.016000000000000014,1.5748031496063006,-22.625866758560278,-0.7388574062143504,0.9359999999999999,38.048780487804876,-0.3999999999999999,-33.33333333333333,0.6000000000000014,2.857142857142864
scene_large,random_pool,unified_full,0.03200000000000003,3.1496062992126013,71.69747569945957,2.341311892830662,1.3399999999999999,54.47154471544715,0.0,0.0,2.0,9.523809523809524
scene_large,fixed_weights,unified_full,0.016000000000000014,1.5748031496063006,11.480596078791223,0.37490380064052325,0.2160000000000002,8.780487804878057,-1.0,-83.33333333333334,0.3999999999999986,1.904761904761898
scene_large,simple_ops,unified_full,0.024000000000000243,2.3622047244094726,46.280137265604935,1.5112977789622946,0.552,22.439024390243905,-1.2,-100.0,1.1999999999999993,5.714285714285711
