task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,relay_coop,11,11,14,3,True,True,67.00128673418017,80.18088796821212,0.0,11.0,79.51516182007146,0.0,0.0,79.51516182007146
2,relay_coop,11,11,11,0,True,True,288.9735268760145,487.57563515827985,0.0,10.0,37.619564275644805,0.0,0.0,37.619564275644805
3,relay_coop,13,13,13,0,True,True,603.667414650472,245.93698379869588,0.0,1.0,37.07752575367141,0.0,0.0,37.07752575367141
4,relay_coop,15,15,15,0,True,True,541.4159166037545,47.01063709417264,0.0,1.0,38.85761236752151,0.0,0.0,38.85761236752151
5,relay_coop,16,16,16,0,True,True,179.085312972858,502.2598928841522,0.0,1.0,45.06469886502714,0.0,0.0,45.06469886502714
6,relay_coop,17,17,17,0,True,True,181.80078526677676,51.62363799656123,0.0,1.0,38.77848532905817,0.0,0.0,38.77848532905817
7,relay_coop,18,18,18,0,True,True,324.7956211251161,485.00412369380945,0.0,1.0,43.811657147641895,0.0,0.0,43.811657147641895
8,relay_coop,19,19,19,0,True,True,145.4342738755807,229.68238939892626,0.0,1.0,38.66543325749712,0.0,0.0,38.66543325749712
9,relay_coop,20,20,23,3,True,True,760.5244171923729,21.482919651598188,0.0,1.0,90.89848118660484,0.0,0.0,90.89848118660484
10,relay_coop,21,21,21,0,True,True,494.04356017772614,268.00746258266764,0.0,1.0,34.719430932606386,0.0,0.0,34.719430932606386
