timestamp,sender,receiver,message_type,content
37,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
37,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
37,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
38,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
38,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
38,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
39,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
39,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
39,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
40,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
40,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
40,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
41,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
41,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
41,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
42,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
42,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
42,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
43,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
43,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
43,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
44,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
44,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
44,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
45,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
45,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
45,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
46,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
46,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
46,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
47,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
47,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
47,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
48,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
48,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
48,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
49,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
49,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
49,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
50,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
50,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
50,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
51,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
51,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
51,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
52,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
52,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
52,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
53,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
53,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
53,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
54,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
54,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
54,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
55,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
55,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
55,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
56,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
56,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
56,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
57,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
57,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
57,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
58,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
58,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
58,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
59,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
59,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
59,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
60,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
60,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
60,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
61,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
61,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
61,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
62,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
62,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
62,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
63,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
63,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
63,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
64,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
64,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
64,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
65,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
65,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
65,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
66,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
66,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.1%
66,UAV 3,Control Center,LOW_BATTERY,Battery level: 24.9%
67,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.7%
