strategy,completion_rate,on_time_rate,avg_delivery_time,total_energy,avg_energy_per_task,energy_per_km,total_distance_agv,avg_wait_time_at_relay,charging_count
baseline_direct,0.5,0.5,47.0,1448.8759414740864,482.9586471580288,0.6628445758120548,0.0,,14
relay_coop,0.8333333333333334,0.8333333333333334,3.8,403.218777481265,80.64375549625301,0.08408080664851068,1000.0,33.0,2
energy_priority,0.6666666666666666,0.6666666666666666,53.75,1472.6680707148714,368.16701767871785,0.7190461082725259,0.0,,14
