timestamp,sender,receiver,message_type,content
28,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 12.6%"
28,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
28,AGV 2,UAV 1,CHARGING_START,Start charging
28,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 6.9%"
28,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
28,AGV 2,UAV 2,CHARGING_START,Start charging
29,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 12.6%"
29,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
29,AGV 2,UAV 1,CHARGING_START,Start charging
29,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 8.8%"
29,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
29,AGV 2,UAV 2,CHARGING_START,Start charging
30,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 12.6%"
30,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
30,AGV 2,UAV 1,CHARGING_START,Start charging
30,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 11.0%"
30,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
30,AGV 2,UAV 2,CHARGING_START,Start charging
31,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 12.7%"
31,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
31,AGV 2,UAV 1,CHARGING_START,Start charging
31,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 13.1%"
31,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
31,AGV 2,UAV 2,CHARGING_START,Start charging
32,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 12.7%"
32,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
32,AGV 2,UAV 1,CHARGING_START,Start charging
32,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 15.2%"
32,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
32,AGV 2,UAV 2,CHARGING_START,Start charging
33,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 12.8%"
33,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
33,AGV 2,UAV 1,CHARGING_START,Start charging
33,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 17.2%"
33,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
33,AGV 2,UAV 2,CHARGING_START,Start charging
34,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 12.9%"
34,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
34,AGV 2,UAV 1,CHARGING_START,Start charging
34,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 19.3%"
34,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
34,AGV 2,UAV 2,CHARGING_START,Start charging
35,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 13.0%"
