strategy,completion_rate,on_time_rate,avg_delivery_time,total_energy,avg_energy_per_task,energy_per_km,total_distance_agv,avg_wait_time_at_relay,charging_count
baseline_direct,0.5,0.5,47.0,1229.4507901611262,409.81693005370875,0.6444464670619882,0.0,,12
relay_coop,0.6666666666666666,0.6666666666666666,4.5,359.9447504934188,89.9861876233547,0.10200760337332712,1000.0,29.666666666666668,2
energy_priority,0.3333333333333333,0.3333333333333333,1.0,1252.3447713513135,626.1723856756568,0.6827443633365414,0.0,,12
